,Category,Show,Synopsis
10,Neutral,Allegiance,"Allegiance is a musical with music and lyrics by Jay Kuo and a book by Marc Acito, Kuo and Lorenzo Thione. The story, set during the Japanese American internment of World War II (with a framing story set in the present day), was inspired by the personal experiences of George Takei, who stars in the musical. It follows the Kimura family in the years following the attack on Pearl Harbor, as they are forced to leave their farm in Salinas, California and are sent to the Heart Mountain internment camp in the rural plains of Wyoming.
The musical began development in 2008 and premiered in September 2012 in San Diego, California. It played on Broadway from October 2015 to February 2016. Reviews on Broadway were mixed, although the cast was generally praised."
11,Neutral,Amazing Grace,"Amazing Grace is a musical with music and lyrics by Christopher Smith and a book by Smith and Arthur Giron. The musical is Smith's first foray as a professional writer or composer. It is based loosely on the life of John Newton, an English slave trader who later became an Anglican priest and eventually an abolitionist. He wrote many hymns, including ""Amazing Grace"".
The musical had a 2012 production by Goodspeed Musicals in Connecticut and a pre-Broadway run in Chicago in 2014. It opened on Broadway on July 16, 2015 and closed on October 25, 2015."
12,Positive,American Idiot,"American Idiot is a sung-through rock musical based on the 2004 concept album of the same name by punk rock band Green Day. After a run at the Berkeley Repertory Theatre in 2009, the show moved to the St. James Theatre on Broadway. Previews began on March 24, 2010, and the musical officially opened on April 20, 2010. The show closed on April 24, 2011, after 422 performances. While Green Day did not appear in the production, vocalist/guitarist Billie Joe Armstrong performed the role of ""St. Jimmy"" occasionally throughout the run.
The story, expanded from that of the album, centres on three disaffected young men, Johnny, Will and Tunny. Johnny and Tunny flee a stifling suburban lifestyle and parental restrictions, while Will stays at home to work out his relationship with his pregnant girlfriend, Heather. The former pair look for meaning in life and try out the freedom and excitement of the city. Tunny quickly gives up on life in the city, joins the military and is shipped off to war. Johnny turns to drugs and finds a part of himself that he grows to dislike, has a relationship and experiences lost love.
The book was written by Armstrong and director Michael Mayer. The music was composed by Green Day and the lyrics were by Armstrong. The score included all the songs from the original American Idiot album, as well as additional Green Day songs from the 2009 concept album 21st Century Breakdown, and ""When It's Time"", a song originally recorded for the musical.
The musical won two Tony Awards: Best Scenic Design of a Musical for Christine Jones and Best Lighting Design of a Musical for Kevin Adams. It also received a nomination for Best Musical. In 2011, its Broadway cast recording won a Grammy Award for Best Musical Show Album."
13,Neutral,American Psycho,"American Psycho is a musical with music and lyrics by Duncan Sheik and a book by Roberto Aguirre-Sacasa. It is based on the controversial 1991 novel American Psycho by Bret Easton Ellis, which also inspired a 2000 film of the same name, which starred Christian Bale. Set in Manhattan during the Wall Street boom of the late 1980s, American Psycho is about the daily life of Patrick Bateman, a wealthy young investment banker who is also a serial killer.
The musical received its world premiere at London's Almeida Theatre in 2013, directed by Rupert Goold and starring Doctor Who actor Matt Smith. A Broadway production began preview performances on 24 March 2016, at the Gerald Schoenfeld Theatre, directed by Goold and starring Benjamin Walker as Patrick Bateman."
14,Positive,An American In Paris,"An American in Paris is a musical play inspired by the 1951 Academy Award-winning film of the same name and adapted for the stage by Christopher Wheeldon. It opened at the Palace Theatre on Broadway in April 2015, following an engagement at the Théâtre du Châtelet in Paris. Incorporating songs from George and Ira Gershwin, the book is by Craig Lucas. The musical won several Tony Awards.The Broadway production closed in October 2016. A US national tour opened in the autumn of 2016 in Boston, Massachusetts, and a London West End production opened at the Dominion Theatre in March 2017. The Italian premiere took place in Genoa in Teatro Carlo Felice in October 2018."
15,Positive,Annie '12,"Annie is a Broadway musical based upon the popular Harold Gray comic strip Little Orphan Annie, with music by Charles Strouse, lyrics by Martin Charnin, and book by Thomas Meehan. The original Broadway production opened in 1977 and ran for nearly six years, setting a record for the Alvin Theatre (now the Neil Simon Theatre). It spawned numerous productions in many countries, as well as national tours, and won the Tony Award for Best Musical. The musical's songs ""Tomorrow"" and ""It's the Hard Knock Life"" are among its most popular musical numbers.

"
16,Positive,Anything Goes '11,"Anything Goes is a 1934 musical with music and lyrics by Cole Porter. The original book was a collaborative effort by Guy Bolton and P. G. Wodehouse, heavily revised by the team of Howard Lindsay and Russel Crouse. The story concerns madcap antics aboard an ocean liner bound from New York to London. Billy Crocker is a stowaway in love with heiress Hope Harcourt, who is engaged to Lord Evelyn Oakleigh. Nightclub singer Reno Sweeney and Public Enemy #13, “Moonface” Martin, aid Billy in his quest to win Hope. The musical introduced such songs as ""Anything Goes"", ""You're the Top"", and ""I Get a Kick Out of You.""
Since its 1934 debut at the Alvin Theatre (now known as the Neil Simon Theatre) on Broadway, the musical has been revived several times in the United States and Britain and has been filmed twice. The musical has long been a popular choice for school and community productions."
17,Positive,Avenue Q,"Avenue Q is a musical comedy featuring puppets and human actors with music and lyrics by Robert Lopez and Jeff Marx and book by Jeff Whitty. The show won Best Musical, Book, and Score at the 2004 Tony Awards. The show was directed by Jason Moore with puppets designed and built by original cast member Rick Lyon. Avenue Q has received many favorable reviews for its approach on topics like racism.
The show first opened in 2003 at the Vineyard Theatre co-produced by the Vineyard Theatre and The New Group. In July of that same year the show moved to the John Golden Theatre on Broadway. Avenue Q would go on to play over 2,500 performances, ranking 24th on the list of longest running shows in Broadway history, before moving to New World Stages where it will play its final performance on April 28, 2019. Because of the show’s success on Broadway many international tours have spawned in places like Germany, England, and Hong Kong. While these tours went on, a school friendly script was produced. The rights to the musical were also released.
The principal cast includes 4 puppeteers and 3 human actors. The puppets, Princeton, Kate, Nicky, and others, are played by unconcealed puppeteers alongside costumed human actors. The show’s format is a parody of PBS's Sesame Street."
18,Neutral,Baby It'S You!,"Baby It's You! is a jukebox musical written by Floyd Mutrux and Colin Escott, featuring the music of the 1960s pop group the Shirelles. The show ""tells the story of Florence Greenberg and Scepter Records, the label Greenberg started when she signed the Shirelles."" After several tryouts and premieres, the show debuted on Broadway in April 2011, directed by Sheldon Epps."
19,Positive,Beautiful: The Carole King Musical,"Beautiful: The Carole King Musical is a jukebox musical with a book by Douglas McGrath that tells the story of the early life and career of Carole King, using songs that she wrote, often together with Gerry Goffin, and other contemporary songs by Barry Mann, Cynthia Weil, Phil Spector and others.
The original production of Beautiful received its world premiere at the Curran Theatre, San Francisco, in October 2013, with direction by Marc Bruni and choreography by Josh Prince, and starring Jessie Mueller and Jake Epstein as Carole King and Gerry Goffin. It made its Broadway debut at the Stephen Sondheim Theatre in January 2014. A West End production starring Katie Brayben as Carole began in February 2015. A U.S. tour launched in September 2015."
20,Neutral,Big Fish,"Big Fish is a musical with music and lyrics by Andrew Lippa and book by John August. It is based on Daniel Wallace’s 1998 novel, Big Fish: A Novel of Mythic Proportions, and the 2003 film Big Fish written by John August and directed by Tim Burton.
Big Fish revolves around the relationship between Edward Bloom, a travelling salesman, and his adult son Will, who looks for what is behind his father’s tall stories."
21,Positive,Billy Elliot: The Musical,"Billy Elliot the Musical is a musical based on the 2000 film Billy Elliot. The music is by Elton John, and the book and lyrics are by Lee Hall, who wrote the film's screenplay. The plot revolves around Billy, a motherless British boy who trades boxing gloves for ballet shoes. The story of his personal struggle and fulfillment are balanced against a counter-story of family and community strife caused by the 1984–85 UK miners' strike in County Durham, in North Eastern England. Hall's screenplay was inspired in part by A. J. Cronin's 1935 novel about a miners' strike, The Stars Look Down, to which the musical's opening song pays homage.The musical premiered at the Victoria Palace Theatre in London's West End in 2005 and was nominated for nine Laurence Olivier Awards, winning four, including Best New Musical. The production ran through April 2016. Its success led to productions in Australia, on Broadway and elsewhere. In New York, it won ten Tony Awards and ten Drama Desk Awards, including, in each case, Best Musical. It has also won numerous awards in Australia including a record-tying seven Helpmann Awards.
A live recording of the musical was released on DVD and Blu-ray on 24 November 2014 in the United Kingdom."
22,Neutral,Bloody Bloody Andrew Jackson,"Bloody Bloody Andrew Jackson is a rock musical with music and lyrics written by Michael Friedman and a book written by its director Alex Timbers.The show is a comedic historical rock musical about the founding of the Democratic Party. It redefines Andrew Jackson, America's seventh President, as an Emo rock star and focuses on populism, the Indian Removal Act, and his relationship with his wife Rachel."
23,Negative,Bonnie And Clyde,"Bonnie & Clyde is a musical with music by Frank Wildhorn, lyrics by Don Black and a book by Ivan Menchell. The world premiere took place in La Jolla, California in November 2009. The musical centers on Bonnie Parker and Clyde Barrow, the ill-fated lovers and outlaws whose story has been infamous since they achieved folk hero status during the Great Depression. Wildhorn described the music as a ""non-traditional score, combining rockabilly, blues and gospel music"". The La Jolla run was followed by a Sarasota, Florida engagement in 2010.
The musical debuted on Broadway in December 2011, where it failed to impress the critics. Ticket sales were poor, and it closed after just four weeks. It was nominated for 3 Outer Critics Circle Awards and 5 Drama Desk Awards, both including Best New Musical, as well as two nominations for the 2012 Tony Awards. Subsequent productions have since been staged internationally following the submission of the work to Music Theater International, including productions in Japan, Korea and the U.K."
24,Neutral,Bright Star,Bright Star is a musical written and composed by Steve Martin and Edie Brickell. It is set in the Blue Ridge Mountains of North Carolina in 1945-46 with flashbacks to 1923. The musical is inspired by their Grammy-winning collaboration on the  2013 bluegrass album Love Has Come for You.
25,Positive,Bring It On The Musical,"Bring It On: The Musical is a musical with music by Tom Kitt and Lin-Manuel Miranda, lyrics by Amanda Green and Miranda, and book by Jeff Whitty. The musical, loosely based on the 2000 film of the same name written by Jessica Bendinger, focuses on the competitive world of cheerleading and over-the-top team rivalries.
The musical premiered at the Alliance Theatre in Atlanta, Georgia in January 2011. The cast included Amanda Lea LaVergne as Campbell, Adrienne Warren as Danielle, Nick Blaemire as Randall, Ryann Redmond as Bridget, and ""award-winning competitive cheerleaders from across the country"". A national tour of the musical played in major U.S. cities from November 2011 to June 2012.
The touring stage production began previews on Broadway in July 2012 at the St. James Theatre, before opening for a limited engagement on August 1, 2012, to December 30, 2012."
26,Neutral,Bullets Over Broadway,"Bullets Over Broadway the Musical is a musical written by Woody Allen, based on his and Douglas McGrath's film Bullets over Broadway about a young playwright whose first Broadway play is financed by a gangster. The score consists of jazz and popular standards of the years between World War I and about 1930 by various songwriters. It received its premiere on Broadway, in 2014, at the St. James Theatre, and closed on August 24, 2014 after over a hundred performances."
27,Positive,Burn The Floor,"Burn the Floor is a live dance show which has performed around the world, including on Broadway in New York City and the West End in London. Since 1997, Burn the Floor has performed in over 130 countries worldwide. The show has also featured several alumni of various international versions of Dancing with the Stars and So You Think You Can Dance."
28,Positive,Bye Bye Birdie,"Bye Bye Birdie is a stage musical with a book by Michael Stewart, lyrics by Lee Adams and music by Charles Strouse.
Originally titled Let's Go Steady, Bye Bye Birdie is set in 1958. The story was inspired by the phenomenon of popular singer Elvis Presley and his draft notice into the Army in 1957. The rock star character's name, ""Conrad Birdie"", is word play on the name of Conway Twitty. Twitty is best remembered today for his long career as a country music star, but in the late 1950s, he was one of Presley's rock 'n' roll rivals. 
The original 1960–1961 Broadway production was a Tony Award–winning success. It spawned a London production and several major revivals, a sequel, a 1963 film, and a 1995 television production. The show also became a popular choice for high school and college productions."
29,Positive,Cabaret (musical),"Cabaret is a 1966 musical with music by John Kander, lyrics by Fred Ebb, and book by Joe Masteroff, based on John Van Druten's 1951 play I Am a Camera, which was adapted from the short novel Goodbye to Berlin (1939) by Christopher Isherwood. Set in 1931 Berlin as the Nazis are rising to power, it focuses on the nightlife at the seedy Kit Kat Klub, and revolves around American writer Cliff Bradshaw and his relationship with English cabaret performer Sally Bowles.
A sub-plot involves the doomed romance between German boarding house owner Fräulein Schneider and her elderly suitor Herr Schultz, a Jewish fruit vendor. Overseeing the action is the Master of Ceremonies at the Kit Kat Klub. The club serves as a metaphor for ominous political developments in late Weimar Germany.
The 1966 original Broadway production became a hit, inspiring numerous subsequent productions in London and New York, as well as the 1972 film of the same name."
30,Positive,Catch Me If You Can,"Catch Me If You Can is a musical with a libretto by Terrence McNally and a theatrical score by Marc Shaiman and Scott Wittman. It follows the story of a con artist named Frank Abagnale Jr. A majority of the plot is borrowed from the 2002 film of the same name, which in turn was based on the 1980 autobiography of the same name by Abagnale and Stan Redding.
After a tryout musical performance in Seattle in 2009, Catch Me If You Can opened at Broadway's Neil Simon Theatre in April 2011. The production received four Tony Awards nominations, including one for Best Musical, winning Best Actor in a Musical for Norbert Leo Butz."
31,Positive,Cats 2016,"Cats is a sung-through musical composed by Andrew Lloyd Webber, based on Old Possum's Book of Practical Cats by T. S. Eliot. The musical tells the story of a tribe of cats called the Jellicles and the night they make what is known as the ""Jellicle choice"" and decide which cat will ascend to the Heaviside Layer and come back to a new life.
Directed by Trevor Nunn and choreographed by Gillian Lynne, Cats first opened in the West End in 1981 and then with the same creative team on Broadway in 1982. It won numerous awards, including Best Musical at both the Laurence Olivier Awards and the Tony Awards. By 1994, the musical had grossed over $2 billion worldwide. The London production ran for 21 years and the Broadway production ran for 18 years, both setting new records. Actresses Elaine Paige and Betty Buckley became particularly associated with the musical.
As of 2018, Cats is the fourth-longest-running show in Broadway history, and was the longest-running Broadway show in history from 1997 until 2006 when it was surpassed by The Phantom of the Opera. It is also the sixth-longest-running West End show. Cats has been performed around the world many times and has been translated into more than 20 languages. The musical was adapted into a direct-to-video film in 1998, with a 2019 film adaptation by Tom Hooper set to follow."
32,Neutral,Chaplin,"Chaplin: The Musical, formerly titled Limelight: The Story of Charlie Chaplin, is a musical with music and lyrics by Christopher Curtis and a book by Curtis and Thomas Meehan. The show is based on the life of Charlie Chaplin. The musical, which started at the New York Musical Theatre Festival in 2006, debuted at the La Jolla Playhouse in 2010, and then premiered on Broadway in 2012."
33,Positive,Chicago,"Chicago (Chicago: A Musical Vaudeville) is an American musical with music by John Kander, lyrics by Fred Ebb, and book by Ebb and Bob Fosse. Set in Jazz-age Chicago, the musical is based on a 1926 play of the same name by reporter Maurine Dallas Watkins about actual criminals and crimes she reported on. The story is a satire on corruption in the administration of criminal justice and the concept of the ""celebrity criminal"".
The original Broadway production opened in 1975 at the 46th Street Theatre and ran for 936 performances until 1977. Bob Fosse choreographed the original production, and his style is strongly identified with the show. Following a West End debut in 1979 which ran for 600 performances, Chicago was revived on Broadway in 1996, and a year later in the West End.
The Broadway revival holds the record as the longest-running musical revival and the longest-running American musical in Broadway history. It is the second longest-running show in Broadway history, behind only The Phantom of the Opera, having played its 7,486th performance on November 23, 2014, surpassing Cats. The West End revival became the longest-running American musical in West End history.  Chicago has been staged in numerous productions around the world, and has toured extensively in the United States and United Kingdom. The 2002 film version of the musical won the Academy Award for Best Picture."
34,Neutral,Cinderella,"Rodgers and Hammerstein's Cinderella is a musical written for television, but later played on stage, with music by Richard Rodgers and a book and lyrics by Oscar Hammerstein II.  It is based upon the fairy tale Cinderella, particularly the French version Cendrillon, ou la Petite Pantoufle de Verre, by Charles Perrault. The story concerns a young woman forced into a life of servitude by her cruel stepmother and self-centered stepsisters, who dreams of a better life. With the help of her Fairy Godmother, Cinderella is transformed into a Princess and finds her Prince.
Cinderella is the only Rodgers and Hammerstein musical written for television. It was originally broadcast live on CBS on March 31, 1957 as a vehicle for Julie Andrews, who played the title role. The broadcast was viewed by more than 100 million people. It was subsequently remade for television twice, in 1965 and 1997. The 1965 version starred Lesley Ann Warren and Stuart Damon, and the 1997 one starred Brandy Norwood in the title role, with Whitney Houston as the fairy godmother. Both remakes add songs from other Richard Rodgers musicals.
The musical has been adapted for the stage in a number of versions, including a London West End pantomime adaptation, a New York City Opera production that follows the original television version closely, and various touring productions. A 2013 adaptation on Broadway starred Laura Osnes and Santino Fontana, with a new book by Douglas Carter Beane."
35,Positive,Come Fly Away,"Come from Away is a musical with book, music and lyrics by Irene Sankoff and David Hein. It is set in the week following the September 11 attacks and tells the true story of what transpired when 38 planes were ordered to land unexpectedly in the small town of Gander in the province of Newfoundland and Labrador, Canada, as part of Operation Yellow Ribbon. The characters in the musical are based on (and in most cases share the names of) real Gander residents as well as some of the 7,000 stranded travelers they housed and fed.
The musical has been received by audiences and critics as a cathartic reminder of the capacity for human kindness in even the darkest of times and the triumph of humanity over hate.After being workshopped in 2012 and first produced at Sheridan College in Oakville, Ontario in 2013, it went on to have record-breaking runs at the La Jolla Playhouse in San Diego, California and the Seattle Repertory Theatre in 2015, at the Ford's Theatre in Washington, D.C., and the Royal Alexandra Theatre in Toronto in 2016. It opened on Broadway at the Gerald Schoenfeld Theatre on March 12, 2017, and became a critical and box office success, routinely playing to standing-room-only audiences even during previews. In October 2018 it became the longest-running Canadian musical in Broadway history, surpassing The Drowsy Chaperone's previous record of 674 performances.Baz Bamigboye announced on Twitter on June 7, 2018 that a London production of Come from Away would be coming in February 2019. He said that the show would first premiere in The Abbey Theatre in Dublin in December and then would transfer to The Phoenix Theatre. He also stated that an official announcement would come on Canada Day.
At the 71st Tony Awards, it was nominated for seven awards including Best Musical, Best Original Score, Best Book of a Musical and Best Featured Actress in a Musical for Jenn Colella, ultimately winning for Best Direction of a Musical for Christopher Ashley."
36,Neutral,Cry Baby,"Cry-Baby is a musical based on the 1990 John Waters film of the same name. The music is by David Javerbaum and Adam Schlesinger, and the book is by Mark O'Donnell and Thomas Meehan. O'Donnell and Meehan also adapted Waters' film Hairspray for the musical stage. The musical focuses on Baltimore teenager Allison Vernon-Williams, who is drawn across the tracks from her 1954 finishing-school background into a relationship with the orphaned Wade ""Cry-Baby"" Walker, the leader of a pack of rebel outcasts."
37,Neutral,Curtains,"Curtains is a musical mystery comedy with a book by Rupert Holmes, lyrics by Fred Ebb, and music by John Kander, with additional lyrics by Kander and Holmes.
Based on the original book and concept of the same name by Peter Stone, the musical is a send-up of backstage murder mystery plots, set in 1959 Boston, Massachusetts and follows the fallout when Jessica Cranshaw, the supremely untalented star of Robbin' Hood of the Old West is murdered during her opening night curtain call.  It is up to Lt. Frank Cioffi, a police detective who moonlights as a musical theater fan to save the show, solve the case, and maybe even find love before the show reopens, without getting killed himself. Cioffi also dreams of being in musical theater. The show opened on Broadway to mixed reviews, though several critics praised the libretto and the character of Lieutenant Cioffi, who critic Ben Brantley called ""the best damn musical theatre character since Mama Rose in 'Gypsy', and the best role of David Hyde Pierce's career."""
38,Positive,Dames At Sea,"Dames at Sea is a musical with book and lyrics by George Haimsohn and Robin Miller and music by Jim Wise.
The musical is a parody of large, flashy 1930s Busby Berkeley-style movie musicals in which a chorus girl, newly arrived off the bus from the Midwest to New York City, steps into a role on Broadway and becomes a star.  It originally played Off-Off-Broadway in 1966 at the Caffe Cino and then played Off-Broadway, starring newcomer Bernadette Peters, beginning in 1968 for a successful run.  The show has enjoyed a London run, a television adaptation and a number of revivals, before its Broadway premiere in October 2015."
39,Neutral,Disaster!,"Disaster! is a musical comedy created by Seth Rudetsky, and written by Seth Rudetsky and Jack Plotnick.  Earthquakes, tidal waves, infernos and the  songs of the '70s take center stage in this homage to classic disaster films.
The show debuted at Triad Theatre, now renamed Stage 72, with choreography by Denis Jones and music supervision by Steve Marzullo on January 22, 2012 and ran through March 25 in its first production. A second production ran from November 2013 through April 2014 at New York's St. Luke's Theatre. The show opened on Broadway at the Nederlander Theatre on March 8, 2016, with previews beginning on February 9, 2016.  The show starred Rudetsky, along with Roger Bart, Kerry Butler, Kevin Chamberlin, Adam Pascal, Faith Prince, Rachel York, Max Crumm, and Jennifer Simard.  Baylee Littrell (the son of Brian Littrell) and Lacretta Nicole made their Broadway debut. The show closed on May 8, 2016, after playing 32 previews and 72 regular performances.Disaster! parodies and pays comedic tribute to the genre of 1970s disaster films. In this musical, a group of New Yorkers attends the opening of a floating casino and discothèque that quickly succumbs to multiple disasters. These calamities correlate with plots of various disaster films of the 1970s, such as earthquakes or killer bee incidents, echoing situations from the films Earthquake and The Swarm respectively. Additionally, this play keeps with a 1970s theme by being a jukebox musical, using popular songs of the decade as musical numbers."
40,Neutral,Doctor Zhivago,"Doctor Zhivago – A New Musical is a 2011 musical composed by Lucy Simon, lyrics by Michael Korie and Amy Powers, book by Michael Weller; it is based on Boris Pasternak's 1957 novel Doctor Zhivago."
41,0,Dr. Seuss' How The Grinch Stole Christmas! 07,"How the Grinch Stole Christmas! (also known as Dr. Seuss' How the Grinch Stole Christmas! and simply The Grinch in the UK) is a 2000 American Christmas fantasy comedy film directed by Ron Howard and written by Jeffrey Price and Peter S. Seaman. Based on Dr. Seuss's 1957 book of the same name, the film was the first Dr. Seuss book to be adapted into a full-length feature film. The film stars Jim Carrey in the title role, Jeffrey Tambor, Christine Baranski, Bill Irwin, Molly Shannon and Taylor Momsen.
Because the film is based on a children's picture book, many additions were made to the storyline to bring it up to feature-length, including some information about the backstory of the title character and reworking the story's minor character Cindy Lou Who as a main character. Most of the rhymes that were used in the book were also used in the film, though some of the lines were to some degree changed and several new rhymes were put in. The film also borrowed some music and character elements (such as the Grinch's green skin tone) that originated in the 1966 animated television special.
Produced by Howard and Brian Grazer's Imagine Entertainment, Dr. Seuss' How the Grinch Stole Christmas! was released by Universal Pictures on November 17, 2000 to mixed reviews from critics, with Carrey's performance being favorably praised. The film grossed over $345 million worldwide, becoming the sixth-highest grossing film of 2000 and was originally the second highest-grossing holiday film of all-time behind Home Alone (1990), until both movies were surpassed in 2018 by the second film adaptation of the story. It won the Academy Award for Best Makeup as well as getting nominations for Best Art Direction and Best Costume Design."
42,Neutral,Elf,"Elf is a musical based on the motion picture of the same name, with a score by Matthew Sklar and Chad Beguelin. The book is adapted by Bob Martin and Thomas Meehan from the 2003 film. The musical ran on Broadway in the Christmas seasons of 2010-11 and 2012–13, and also toured the U.S. in 2012. A new tour launched in 2014."
43,Neutral,Elf '12,"Elf is a musical based on the motion picture of the same name, with a score by Matthew Sklar and Chad Beguelin. The book is adapted by Bob Martin and Thomas Meehan from the 2003 film. The musical ran on Broadway in the Christmas seasons of 2010-11 and 2012–13, and also toured the U.S. in 2012. A new tour launched in 2014."
44,Neutral,Everyday Rapture,"Everyday Rapture is a musical with a book written by Sherie Rene Scott and Dick Scanlan and music by various composers. It ran Off-Broadway in 2009 and opened on Broadway in 2010. The musical is a loose autobiography of Scott herself, showing her travels from her half-Mennonite Kansas childhood to a life in show business."
