,Name,Attendance,Capacity (%),Day,Gross,Gross Potential,Month,Performances,Weeks,Sentimentality,Category,Synopsis,First Week,Grand Mean,Tony Season,Best Actor,Best Actress,Best Director,Best Musical,Best Revival,Total Tonys,Unnamed: 0,Censored
10,Allegiance,5955.368421052632,72.3157894736842,15.842105263157896,453400.7368421053,49.526315789473685,7.473684210526316,5.842105263157895,19,0.009981061,Neutral,"Allegiance is a musical with music and lyrics by Jay Kuo and a book by Marc Acito, Kuo and Lorenzo Thione. The story, set during the Japanese American internment of World War II (with a framing story set in the present day), was inspired by the personal experiences of George Takei, who stars in the musical. It follows the Kimura family in the years following the attack on Pearl Harbor, as they are forced to leave their farm in Salinas, California and are sent to the Heart Mountain internment camp in the rural plains of Wyoming.
The musical began development in 2008 and premiered in September 2012 in San Diego, California. It played on Broadway from October 2015 to February 2016. Reviews on Broadway were mixed, although the cast was generally praised.",57.71428571,51.56692913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
11,Amazing Grace,5148.333333333333,56.94444444444444,16.333333333333332,307784.8333333333,28.666666666666668,8.333333333333334,6.444444444444445,18,0.303702381,Neutral,"Amazing Grace is a musical with music and lyrics by Christopher Smith and a book by Smith and Arthur Giron. The musical is Smith's first foray as a professional writer or composer. It is based loosely on the life of John Newton, an English slave trader who later became an Anglican priest and eventually an abolitionist. He wrote many hymns, including ""Amazing Grace"".
The musical had a 2012 production by Goodspeed Musicals in Connecticut and a pre-Broadway run in Chicago in 2014. It opened on Broadway on July 16, 2015 and closed on October 25, 2015.",39.28571429,14.31666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
12,American Idiot,8960.052631578947,66.75438596491227,15.964912280701755,698211.4385964912,51.89473684210526,6.228070175438597,7.4035087719298245,57,-0.118214286,Positive,"American Idiot is a sung-through rock musical based on the 2004 concept album of the same name by punk rock band Green Day. After a run at the Berkeley Repertory Theatre in 2009, the show moved to the St. James Theatre on Broadway. Previews began on March 24, 2010, and the musical officially opened on April 20, 2010. The show closed on April 24, 2011, after 422 performances. While Green Day did not appear in the production, vocalist/guitarist Billie Joe Armstrong performed the role of ""St. Jimmy"" occasionally throughout the run.
The story, expanded from that of the album, centres on three disaffected young men, Johnny, Will and Tunny. Johnny and Tunny flee a stifling suburban lifestyle and parental restrictions, while Will stays at home to work out his relationship with his pregnant girlfriend, Heather. The former pair look for meaning in life and try out the freedom and excitement of the city. Tunny quickly gives up on life in the city, joins the military and is shipped off to war. Johnny turns to drugs and finds a part of himself that he grows to dislike, has a relationship and experiences lost love.
The book was written by Armstrong and director Michael Mayer. The music was composed by Green Day and the lyrics were by Armstrong. The score included all the songs from the original American Idiot album, as well as additional Green Day songs from the 2009 concept album 21st Century Breakdown, and ""When It's Time"", a song originally recorded for the musical.
The musical won two Tony Awards: Best Scenic Design of a Musical for Christine Jones and Best Lighting Design of a Musical for Kevin Adams. It also received a nomination for Best Musical. In 2011, its Broadway cast recording won a Grammy Award for Best Musical Show Album.",59.42857143,36.64912281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
13,American Psycho,6578.0,87.45454545454545,14.636363636363637,511589.0909090909,53.63636363636363,4.545454545454546,4.909090909090909,11,0.043472944000000006,Neutral,"American Psycho is a musical with music and lyrics by Duncan Sheik and a book by Roberto Aguirre-Sacasa. It is based on the controversial 1991 novel American Psycho by Bret Easton Ellis, which also inspired a 2000 film of the same name, which starred Christian Bale. Set in Manhattan during the Wall Street boom of the late 1980s, American Psycho is about the daily life of Patrick Bateman, a wealthy young investment banker who is also a serial killer.
The musical received its world premiere at London's Almeida Theatre in 2013, directed by Rupert Goold and starring Doctor Who actor Matt Smith. A Broadway production began preview performances on 24 March 2016, at the Gerald Schoenfeld Theatre, directed by Goold and starring Benjamin Walker as Patrick Bateman.",59.28571429,45.52112676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
14,An American In Paris,10653.72,81.17333333333333,16.106666666666666,1049103.84,73.04,6.16,7.453333333333333,75,0.070212121,Positive,"An American in Paris is a musical play inspired by the 1951 Academy Award-winning film of the same name and adapted for the stage by Christopher Wheeldon. It opened at the Palace Theatre on Broadway in April 2015, following an engagement at the Théâtre du Châtelet in Paris. Incorporating songs from George and Ira Gershwin, the book is by Craig Lucas. The musical won several Tony Awards.The Broadway production closed in October 2016. A US national tour opened in the autumn of 2016 in Boston, Massachusetts, and a London West End production opened at the Dominion Theatre in March 2017. The Italian premiere took place in Genoa in Teatro Carlo Felice in October 2018.",38.14285714,28.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
15,Annie '12,10270.5,78.9090909090909,15.575757575757576,894726.6212121212,65.66666666666667,7.378787878787879,7.378787878787879,66,0.041719697,Positive,"Annie is a Broadway musical based upon the popular Harold Gray comic strip Little Orphan Annie, with music by Charles Strouse, lyrics by Martin Charnin, and book by Thomas Meehan. The original Broadway production opened in 1977 and ran for nearly six years, setting a record for the Alvin Theatre (now the Neil Simon Theatre). It spawned numerous productions in many countries, as well as national tours, and won the Tony Award for Best Musical. The musical's songs ""Tomorrow"" and ""It's the Hard Knock Life"" are among its most popular musical numbers.

",38.28571429,49.25757576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0
16,Anything Goes '11,7370.771428571428,90.85714285714286,15.242857142857142,675555.1285714286,65.82857142857142,6.0285714285714285,7.442857142857143,70,0.041746032,Positive,"Anything Goes is a 1934 musical with music and lyrics by Cole Porter. The original book was a collaborative effort by Guy Bolton and P. G. Wodehouse, heavily revised by the team of Howard Lindsay and Russel Crouse. The story concerns madcap antics aboard an ocean liner bound from New York to London. Billy Crocker is a stowaway in love with heiress Hope Harcourt, who is engaged to Lord Evelyn Oakleigh. Nightclub singer Reno Sweeney and Public Enemy #13, “Moonface” Martin, aid Billy in his quest to win Hope. The musical introduced such songs as ""Anything Goes"", ""You're the Top"", and ""I Get a Kick Out of You.""
Since its 1934 debut at the Alvin Theatre (now known as the Neil Simon Theatre) on Broadway, the musical has been revived several times in the United States and Britain and has been filmed twice. The musical has long been a popular choice for school and community productions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0
17,Avenue Q,4791.898876404494,75.35955056179775,15.606741573033707,309073.19101123593,52.943820224719104,5.820224719101123,7.98876404494382,89,0.232580808,Positive,"Avenue Q is a musical comedy featuring puppets and human actors with music and lyrics by Robert Lopez and Jeff Marx and book by Jeff Whitty. The show won Best Musical, Book, and Score at the 2004 Tony Awards. The show was directed by Jason Moore with puppets designed and built by original cast member Rick Lyon. Avenue Q has received many favorable reviews for its approach on topics like racism.
The show first opened in 2003 at the Vineyard Theatre co-produced by the Vineyard Theatre and The New Group. In July of that same year the show moved to the John Golden Theatre on Broadway. Avenue Q would go on to play over 2,500 performances, ranking 24th on the list of longest running shows in Broadway history, before moving to New World Stages where it will play its final performance on April 28, 2019. Because of the show’s success on Broadway many international tours have spawned in places like Germany, England, and Hong Kong. While these tours went on, a school friendly script was produced. The rights to the musical were also released.
The principal cast includes 4 puppeteers and 3 human actors. The puppets, Princeton, Kate, Nicky, and others, are played by unconcealed puppeteers alongside costumed human actors. The show’s format is a parody of PBS's Sesame Street.",78.28571429,58.68539326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0
18,Baby It'S You!,6664.666666666667,77.58333333333333,15.708333333333334,379653.9166666667,40.458333333333336,6.0,6.166666666666667,24,-0.039458333,Neutral,"Baby It's You! is a jukebox musical written by Floyd Mutrux and Colin Escott, featuring the music of the 1960s pop group the Shirelles. The show ""tells the story of Florence Greenberg and Scepter Records, the label Greenberg started when she signed the Shirelles."" After several tryouts and premieres, the show debuted on Broadway in April 2011, directed by Sheldon Epps.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0
19,Beautiful: The Carole King Musical,7641.531468531469,93.37762237762237,15.692307692307692,1003978.0559440559,83.18881118881119,6.230769230769231,7.5524475524475525,143,0.27125,Positive,"Beautiful: The Carole King Musical is a jukebox musical with a book by Douglas McGrath that tells the story of the early life and career of Carole King, using songs that she wrote, often together with Gerry Goffin, and other contemporary songs by Barry Mann, Cynthia Weil, Phil Spector and others.
The original production of Beautiful received its world premiere at the Curran Theatre, San Francisco, in October 2013, with direction by Marc Bruni and choreography by Josh Prince, and starring Jessie Mueller and Jake Epstein as Carole King and Gerry Goffin. It made its Broadway debut at the Stephen Sondheim Theatre in January 2014. A West End production starring Katie Brayben as Carole began in February 2015. A U.S. tour launched in September 2015.",14.85714286,14.70629371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
20,Big Fish,8631.176470588236,80.23529411764706,15.823529411764707,638717.2941176471,48.94117647058823,10.588235294117647,5.764705882352941,17,0.114752273,Neutral,"Big Fish is a musical with music and lyrics by Andrew Lippa and book by John August. It is based on Daniel Wallace’s 1998 novel, Big Fish: A Novel of Mythic Proportions, and the 2003 film Big Fish written by John August and directed by Tim Burton.
Big Fish revolves around the relationship between Edward Bloom, a travelling salesman, and his adult son Will, who looks for what is behind his father’s tall stories.",78.57142857,72.47787611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
21,Billy Elliot: The Musical,10450.923976608186,92.98830409356725,15.701754385964913,1073183.4970760234,84.3157894736842,6.754385964912281,7.6725146198830405,171,0.122930272,Positive,"Billy Elliot the Musical is a musical based on the 2000 film Billy Elliot. The music is by Elton John, and the book and lyrics are by Lee Hall, who wrote the film's screenplay. The plot revolves around Billy, a motherless British boy who trades boxing gloves for ballet shoes. The story of his personal struggle and fulfillment are balanced against a counter-story of family and community strife caused by the 1984–85 UK miners' strike in County Durham, in North Eastern England. Hall's screenplay was inspired in part by A. J. Cronin's 1935 novel about a miners' strike, The Stars Look Down, to which the musical's opening song pays homage.The musical premiered at the Victoria Palace Theatre in London's West End in 2005 and was nominated for nine Laurence Olivier Awards, winning four, including Best New Musical. The production ran through April 2016. Its success led to productions in Australia, on Broadway and elsewhere. In New York, it won ten Tony Awards and ten Drama Desk Awards, including, in each case, Best Musical. It has also won numerous awards in Australia including a record-tying seven Helpmann Awards.
A live recording of the musical was released on DVD and Blu-ray on 24 November 2014 in the United Kingdom.",9.285714286000001,10.40935673,0.0,1.0,1.0,1.0,1.0,0.0,4.0,21.0,1.0
22,Bloody Bloody Andrew Jackson,6109.066666666667,74.0,16.333333333333332,375303.93333333335,40.2,10.133333333333333,6.266666666666667,15,-0.488035714,Neutral,"Bloody Bloody Andrew Jackson is a rock musical with music and lyrics written by Michael Friedman and a book written by its director Alex Timbers.The show is a comedic historical rock musical about the founding of the Democratic Party. It redefines Andrew Jackson, America's seventh President, as an Emo rock star and focuses on populism, the Indian Removal Act, and his relationship with his wife Rachel.",34.57142857,43.24242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0
23,Bonnie And Clyde,6237.555555555556,78.44444444444444,13.88888888888889,364149.6666666667,41.22222222222222,10.333333333333334,4.0,9,-0.005772006,Negative,"Bonnie & Clyde is a musical with music by Frank Wildhorn, lyrics by Don Black and a book by Ivan Menchell. The world premiere took place in La Jolla, California in November 2009. The musical centers on Bonnie Parker and Clyde Barrow, the ill-fated lovers and outlaws whose story has been infamous since they achieved folk hero status during the Great Depression. Wildhorn described the music as a ""non-traditional score, combining rockabilly, blues and gospel music"". The La Jolla run was followed by a Sarasota, Florida engagement in 2010.
The musical debuted on Broadway in December 2011, where it failed to impress the critics. Ticket sales were poor, and it closed after just four weeks. It was nominated for 3 Outer Critics Circle Awards and 5 Drama Desk Awards, both including Best New Musical, as well as two nominations for the 2012 Tony Awards. Subsequent productions have since been staged internationally following the submission of the work to Music Theater International, including productions in Japan, Korea and the U.K.",46.71428571,46.73684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0
24,Bright Star,6193.5,76.61111111111111,15.833333333333334,415249.6666666667,46.94444444444444,4.388888888888889,6.055555555555555,18,0.297840909,Neutral,Bright Star is a musical written and composed by Steve Martin and Edie Brickell. It is set in the Blue Ridge Mountains of North Carolina in 1945-46 with flashbacks to 1923. The musical is inspired by their Grammy-winning collaboration on the  2013 bluegrass album Love Has Come for You.,8.142857142999999,8.433333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
25,Bring It On The Musical,7227.2,71.04,16.64,456407.08,42.48,9.68,6.84,25,0.172612674,Positive,"Bring It On: The Musical is a musical with music by Tom Kitt and Lin-Manuel Miranda, lyrics by Amanda Green and Miranda, and book by Jeff Whitty. The musical, loosely based on the 2000 film of the same name written by Jessica Bendinger, focuses on the competitive world of cheerleading and over-the-top team rivalries.
The musical premiered at the Alliance Theatre in Atlanta, Georgia in January 2011. The cast included Amanda Lea LaVergne as Campbell, Adrienne Warren as Danielle, Nick Blaemire as Randall, Ryann Redmond as Bridget, and ""award-winning competitive cheerleaders from across the country"". A national tour of the musical played in major U.S. cities from November 2011 to June 2012.
The touring stage production began previews on Broadway in July 2012 at the St. James Theatre, before opening for a limited engagement on August 1, 2012, to December 30, 2012.",19.14285714,14.79881657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
26,Bullets Over Broadway,9437.375,73.83333333333333,16.166666666666668,757348.625,51.291666666666664,5.625,6.5,24,0.058541667,Neutral,"Bullets Over Broadway the Musical is a musical written by Woody Allen, based on his and Douglas McGrath's film Bullets over Broadway about a young playwright whose first Broadway play is financed by a gangster. The score consists of jazz and popular standards of the years between World War I and about 1930 by various songwriters. It received its premiere on Broadway, in 2014, at the St. James Theatre, and closed on August 24, 2014 after over a hundred performances.",19.0,17.15432099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0
27,Burn The Floor,5823.28,72.88,15.36,371427.12,49.96,9.12,7.4,25,-0.01546158,Positive,"Burn the Floor is a live dance show which has performed around the world, including on Broadway in New York City and the West End in London. Since 1997, Burn the Floor has performed in over 130 countries worldwide. The show has also featured several alumni of various international versions of Dancing with the Stars and So You Think You Can Dance.",55.71428571,39.04733728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0
28,Bye Bye Birdie,7629.85,94.8,15.65,574272.95,58.85,8.7,5.85,20,0.14156666699999998,Positive,"Bye Bye Birdie is a stage musical with a book by Michael Stewart, lyrics by Lee Adams and music by Charles Strouse.
Originally titled Let's Go Steady, Bye Bye Birdie is set in 1958. The story was inspired by the phenomenon of popular singer Elvis Presley and his draft notice into the Army in 1957. The rock star character's name, ""Conrad Birdie"", is word play on the name of Conway Twitty. Twitty is best remembered today for his long career as a country music star, but in the late 1950s, he was one of Presley's rock 'n' roll rivals. 
The original 1960–1961 Broadway production was a Tony Award–winning success. It spawned a London production and several major revivals, a sequel, a 1963 film, and a 1995 television production. The show also became a popular choice for high school and college productions.",37.85714286,31.87313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0
29,Cabaret (musical),6484.222222222223,92.96296296296296,16.0,762037.5555555555,77.64814814814815,6.407407407407407,7.185185185185185,54,0.180041667,Positive,"Cabaret is a 1966 musical with music by John Kander, lyrics by Fred Ebb, and book by Joe Masteroff, based on John Van Druten's 1951 play I Am a Camera, which was adapted from the short novel Goodbye to Berlin (1939) by Christopher Isherwood. Set in 1931 Berlin as the Nazis are rising to power, it focuses on the nightlife at the seedy Kit Kat Klub, and revolves around American writer Cliff Bradshaw and his relationship with English cabaret performer Sally Bowles.
A sub-plot involves the doomed romance between German boarding house owner Fräulein Schneider and her elderly suitor Herr Schultz, a Jewish fruit vendor. Overseeing the action is the Master of Ceremonies at the Kit Kat Klub. The club serves as a metaphor for ominous political developments in late Weimar Germany.
The 1966 original Broadway production became a hit, inspiring numerous subsequent productions in London and New York, as well as the 1972 film of the same name.",61.14285714,42.01851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
30,Catch Me If You Can,9333.5,86.23076923076923,15.76923076923077,648598.8461538461,51.53846153846154,5.769230769230769,6.384615384615385,26,0.12712878800000002,Positive,"Catch Me If You Can is a musical with a libretto by Terrence McNally and a theatrical score by Marc Shaiman and Scott Wittman. It follows the story of a con artist named Frank Abagnale Jr. A majority of the plot is borrowed from the 2002 film of the same name, which in turn was based on the 1980 autobiography of the same name by Abagnale and Stan Redding.
After a tryout musical performance in Seattle in 2009, Catch Me If You Can opened at Broadway's Neil Simon Theatre in April 2011. The production received four Tony Awards nominations, including one for Best Musical, winning Best Actor in a Musical for Norbert Leo Butz.",37.71428571,22.55113636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
31,Cats 2016,8603.8,95.2,18.6,880891.4,78.6,7.4,3.4,5,0.083484848,Positive,"Cats is a sung-through musical composed by Andrew Lloyd Webber, based on Old Possum's Book of Practical Cats by T. S. Eliot. The musical tells the story of a tribe of cats called the Jellicles and the night they make what is known as the ""Jellicle choice"" and decide which cat will ascend to the Heaviside Layer and come back to a new life.
Directed by Trevor Nunn and choreographed by Gillian Lynne, Cats first opened in the West End in 1981 and then with the same creative team on Broadway in 1982. It won numerous awards, including Best Musical at both the Laurence Olivier Awards and the Tony Awards. By 1994, the musical had grossed over $2 billion worldwide. The London production ran for 21 years and the Broadway production ran for 18 years, both setting new records. Actresses Elaine Paige and Betty Buckley became particularly associated with the musical.
As of 2018, Cats is the fourth-longest-running show in Broadway history, and was the longest-running Broadway show in history from 1997 until 2006 when it was surpassed by The Phantom of the Opera. It is also the sixth-longest-running West End show. Cats has been performed around the world many times and has been translated into more than 20 languages. The musical was adapted into a direct-to-video film in 1998, with a 2019 film adaptation by Tom Hooper set to follow.",62.14285714,62.48275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
32,Chaplin,5907.4,71.0,16.0,425919.5,43.8,9.9,6.75,20,0.03825,Neutral,"Chaplin: The Musical, formerly titled Limelight: The Story of Charlie Chaplin, is a musical with music and lyrics by Christopher Curtis and a book by Curtis and Thomas Meehan. The show is based on the life of Charlie Chaplin. The musical, which started at the New York Musical Theatre Festival in 2006, debuted at the La Jolla Playhouse in 2010, and then premiered on Broadway in 2012.",38.28571429,40.20149254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0
33,Chicago,6842.544444444445,79.36444444444444,15.713333333333333,550707.2866666666,56.72666666666667,6.348888888888889,7.977777777777778,450,0.034444444,Positive,"Chicago (Chicago: A Musical Vaudeville) is an American musical with music by John Kander, lyrics by Fred Ebb, and book by Ebb and Bob Fosse. Set in Jazz-age Chicago, the musical is based on a 1926 play of the same name by reporter Maurine Dallas Watkins about actual criminals and crimes she reported on. The story is a satire on corruption in the administration of criminal justice and the concept of the ""celebrity criminal"".
The original Broadway production opened in 1975 at the 46th Street Theatre and ran for 936 performances until 1977. Bob Fosse choreographed the original production, and his style is strongly identified with the show. Following a West End debut in 1979 which ran for 600 performances, Chicago was revived on Broadway in 1996, and a year later in the West End.
The Broadway revival holds the record as the longest-running musical revival and the longest-running American musical in Broadway history. It is the second longest-running show in Broadway history, behind only The Phantom of the Opera, having played its 7,486th performance on November 23, 2014, surpassing Cats. The West End revival became the longest-running American musical in West End history.  Chicago has been staged in numerous productions around the world, and has toured extensively in the United States and United Kingdom. The 2002 film version of the musical won the Academy Award for Best Picture.",89.28571429,84.66990291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
